"Data de Referencia";01/09/2026
"NUMERO VEICULO";PLACA;Consorcio;"CELULA OPERACIONAL";PADRAO;"MODELO CARROCERIA";"ANO CARROCERIA";"MODELO CHASSI";"ANO CHASSI";CHASSI;TANQUE1;TANQUE2;"COMPRIMENTO ANTES ROLETA";"COMPRIMENTO APOS ROLETA";"COMPRIMENTO AREA DE DEFICIENTE";"COMPRIMENTO DO VEICULO";COR;"DATA ENTRADA SISTEMA";"DATA DE INSTALAÇÃO ELEVADOR";"DATA BAIXA";"DATA SEGURO";"DATA LACRE";"DATA TRANSFERENCIA PARA A CELULA OPERACIONAL";"DISTANCIA ENTRE EIXOS";"DOC DE ENTRADA";"LARGURA ANTES ROLETA";"LARGURA APOS ROLETA";"LARGURA PORTA CENTRAL";"LARGURA PORTA CENTRAL ESQUERDA";"LARGURA PORTA DIANTEIRA";"LARGURA PORTA DIANTEIRA ESQUERDA";"LARGURA PORTA TRASEIRA";"LARGURA PORTA TRASEIRA ESQUERDA";"LARGURA AREA DEFICIENTE";"LOCAL MOTOR";SEGURADORA;COD_CONSORCIO;"LACRE ROLETA";"LACRE ASSOALHO";"LACRE PESCOÇO";RENAVAM;"NUM_VEICULO SUBSTITUIDO";PESO;"POTENCIA MOTOR";"VALIDADE DA LICENÇA";"VALIDADE DO REGISTRO";ASSENTOS;QTD_PORTAS;"QTD_PORTAS ESQUERDA";QTD_VALIDADORES;"AR CONDICIONADO";COBRADOR;"CAMERA DE VIDEO";ELEVADOR;GPS;"ROLETA ELETRONICA";"SUPORTE BICICLETA";TELEVISAO;VALIDADOR;WIFI;"TIPO ASSENTO";CAMBIO;"CODIGO TIPO OPERACAO";SUSPENSAO;"TIPO VEICULO";STATUS;"
"
25H86;QPZ4186;"LINHA VERDE";"CÉLULA 6";PADRON;;;;;;;;;;;0;VERDE;31/08/2026;;;;;" ";" ";" ";;;;;;;;;;;;105;;;;01179532446;" ";;;" ";" ";;1;1;;N;N;N;N;N;N;N;N;N;N;;;3;;MEDIO;"Aguardando Finalização pelo Consórcio"
88128;HBG0435;"METROPOLITANO DE TRANSPORTES";"CÉLULA 1";MEDIO;"MASCARELLO GRANMIDI";2010;"AGRALE MA 15.0";2010;9BYC51A1AAC000862;200;;80;670;120;750;LARANJA;24/03/2010;24/03/2010;;30/12/2020;24/03/2010;" ";" ";" ";70;64;0;;83;;107;;80;DIANTEIRO;caixa;103;38255;38247;;196567998;" ";15000;185;" ";" ";33;1;1;1;N;N;S;S;S;S;N;N;S;N;ESTOFADO;MANUAL;2;MOLAS;MEDIO;"Inclusão de Fotos e Agendamento"
30838;TDR4B72;"ESTRADA REAL";"CELULA 1";MEDIO;"MARCOPOLO TORINO U";2025;"VOLKSWAGEN 17.230OD EURO V";2024;9532A8TU7SR035048;300;0;100;822;120;922;BRANCA;13/02/2025;01/01/2024;;01/01/2024;;" ";" ";" ";85;65;100;0;100;0;100;0;80;DIANTEIRO;DPVAT;104;;;;01425036780;" ";17000;225;" ";" ";40;1;1;1;N;N;S;S;S;S;N;N;S;N;ESTOFADO;MANUAL;2;MOLAS;MEDIO;"Inclusão de Fotos e Agendamento"
25E12;HIA8D37;"METROPOLITANO DE TRANSPORTES";"CÉLULA 5";PADRON;"INDUSCAR APACHE U";2010;"MBB OF1722M";2010;9BM384078AB713952;300;0;100;822;120;922;VERMELHO;05/11/2020;28/07/2010;;22/07/2010;28/07/2010;" ";" ";" ";60;65;110;0;110;0;110;0;80;DIANTEIRO;DPVAT;103;40469;40493;;224586890;" ";17000;218;" ";" ";38;1;1;1;N;N;S;S;S;S;N;N;S;N;ESTOFADO;MANUAL;2;MOLAS;PESADO;"Laudo de Vistoria Anexado(Outros)"
97131;HJA7145;UNIMINAS;"CÉLULA 4";MEDIO;"COMIL SVELTO U";2010;"VOLKSWAGEN 17.230EOD";2010;9532L82W2AR038872;300;0;100;822;120;922;VERMELHO;16/11/2020;21/12/2022;;24/03/2022;;" ";" ";" ";95;65;110;0;110;0;110;0;80;DIANTEIRO;DPVAT;102;;;;250621371;" ";17000;225;" ";" ";38;1;1;1;N;N;S;S;S;S;N;N;S;N;ESTOFADO;MANUAL;2;MOLAS;PESADO;"Laudo de Vistoria Anexado(Outros)"
97141;HJA7188;"CIDADE INDUSTRIAL";"CÉLULA 3";PADRON;"COMIL SVELTO U";2010;"VOLKSWAGEN 17.230EOD";2010;9532L82W4AR043457;275;0;100;800;120;900;VERMELHO;25/10/2019;14/10/2010;;01/01/2019;07/01/2016;" ";" ";" ";110;65;120;0;90;0;110;0;80;DIANTEIRO;DPVAT;107;18669;11208;;253569966;" ";17200;225;" ";" ";38;1;1;1;N;N;S;S;S;S;N;N;S;N;ESTOFADO;MANUAL;2;MOLAS;PESADO;"Laudo de Vistoria Anexado(Outros)"
25454;HNX7823;"METROPOLITANO DE TRANSPORTES";"CÉLULA 5";PADRON;"INDUSCAR APACHE U";2012;"MBB OF1722M";2011;9BM384078CB846283;300;;160;730;140;890;VERMELHO;11/04/2012;11/04/2012;;10/04/2012;11/04/2012;" ";" ";" ";100;65;110;;110;;110;;80;DIANTEIRO;DPVAT;103;45145;45182;;460434659;" ";17000;218;" ";" ";38;1;1;1;N;N;S;S;S;S;N;N;S;N;ESTOFADO;MANUAL;2;MOLAS;PESADO;"Laudo de Vistoria Anexado(Outros)"
25449;HNX7839;"METROPOLITANO DE TRANSPORTES";"CÉLULA 5";PADRON;"INDUSCAR APACHE U";2012;"MBB OF1722M";2011;9BM384078CB847901;300;;130;830;130;960;AZUL;11/04/2012;11/04/2012;;10/04/2012;11/04/2012;" ";" ";" ";80;57;115;;110;;110;;80;DIANTEIRO;DPVAT;103;45147;45181;;460434918;" ";17000;218;" ";" ";38;1;1;1;N;N;S;S;S;S;N;N;S;N;ESTOFADO;MANUAL;2;MOLAS;PESADO;"Laudo de Vistoria Anexado(Outros)"
25H69;TDR5F45;"METROPOLITANO DE TRANSPORTES";"CÉLULA 5";PADRON;"INDUSCAR APACHE U";2025;"MERCEDES BENS";2024;9BM384038SB385327;300;0;259;981;120;1240;BRANCA;20/02/2025;01/01/2025;;01/01/2025;;" ";" ";" ";85;85;115;0;100;0;100;0;85;DIANTEIRO;0;103;;;;01426223550;" ";13500;260;" ";" ";40;1;1;1;N;N;S;S;S;S;N;N;S;N;PLASTICO/ESTOFADO;MANUAL;1;AR;PESADO;"Laudo de Vistoria Anexado(Outros)"
73009;API5082;"CIDADE INDUSTRIAL";"CÉLULA 6";MIDI;"NEOBUS SPECTRUM";2007;"MBB OF1418";2007;9BM3840677B548898;300;;100;550;120;650;VERMELHO;28/02/2011;28/02/2011;03/02/2022;15/02/2011;28/02/2011;" ";" ";" ";110;70;75;;75;;110;;80;DIANTEIRO;DPVAT;107;42088;42069;;939499967;" ";14000;177;" ";" ";20;1;1;1;N;N;S;S;S;S;N;N;S;N;ESTOFADO;MANUAL;2;MOLAS;PESADO;Removido
73010;AQL7960;"CIDADE INDUSTRIAL";"CÉLULA 6";MIDI;"NEOBUS SPECTRUM";2008;"MBB OF1418";2008;9BM3840678B602449;300;;100;550;120;650;VERMELHO;28/02/2011;28/02/2011;14/03/2021;15/02/2011;28/02/2011;" ";" ";" ";110;70;75;;75;;110;;80;DIANTEIRO;DPVAT;107;42023;42058;;981116680;" ";14000;177;" ";" ";20;1;1;0;N;N;N;S;N;S;N;N;S;N;ESTOFADO;MANUAL;2;MOLAS;PESADO;Removido
